"","slug_game","medal_type","name","gender","discipline","event","country_code","country_long"
"20454","paris-2024","silver","Ilia SULAMANIDZE","M","Judo","Men -100 kg","GEO","Georgia"
"20455","paris-2024","bronze","Peter PALTCHIK","M","Judo","Men -100 kg","ISR","Israel"
"20456","paris-2024","bronze","Muzaffarbek TUROBOYEV","M","Judo","Men -100 kg","UZB","Uzbekistan"
"20457","paris-2024","gold","Alice BELLANDI","W","Judo","Women -78 kg","ITA","Italy"
"20458","paris-2024","silver","Inbar LANIR","W","Judo","Women -78 kg","ISR","Israel"
"20459","paris-2024","bronze","MA Zhenzhao","W","Judo","Women -78 kg","CHN","People's Republic of China"
"20460","paris-2024","bronze","Patricia SAMPAIO","W","Judo","Women -78 kg","POR","Portugal"
"20461","paris-2024","gold","Romania","M","Rowing","Men's Double Sculls","ROU","Romania"
"20462","paris-2024","silver","Netherlands","M","Rowing","Men's Double Sculls","NED","Netherlands"
"20463","paris-2024","bronze","Ireland","M","Rowing","Men's Double Sculls","IRL","Ireland"
"20464","paris-2024","gold","United States of America","M","Rowing","Men's Four","USA","United States of America"
"20465","paris-2024","silver","New Zealand","M","Rowing","Men's Four","NZL","New Zealand"
"20466","paris-2024","bronze","Great Britain","M","Rowing","Men's Four","GBR","Great Britain"
"20467","paris-2024","gold","New Zealand","W","Rowing","Women's Double Sculls","NZL","New Zealand"
"20468","paris-2024","silver","Romania","W","Rowing","Women's Double Sculls","ROU","Romania"
"20469","paris-2024","bronze","Great Britain","W","Rowing","Women's Double Sculls","GBR","Great Britain"
"20470","paris-2024","gold","Netherlands","W","Rowing","Women's Four","NED","Netherlands"
"20471","paris-2024","silver","Great Britain","W","Rowing","Women's Four","GBR","Great Britain"
"20472","paris-2024","bronze","New Zealand","W","Rowing","Women's Four","NZL","New Zealand"
"20473","paris-2024","gold","LIU Yukun","M","Shooting","50m Rifle 3 Positions Men","CHN","People's Republic of China"
"20474","paris-2024","silver","Serhiy KULISH","M","Shooting","50m Rifle 3 Positions Men","UKR","Ukraine"
"20475","paris-2024","bronze","Swapnil KUSALE","M","Shooting","50m Rifle 3 Positions Men","IND","India"
"20476","paris-2024","gold","Hubert KOS","M","Swimming","Men's 200m Backstroke","HUN","Hungary"
"20477","paris-2024","silver","Apostolos CHRISTOU","M","Swimming","Men's 200m Backstroke","GRE","Greece"
"20478","paris-2024","bronze","Roman MITYUKOV","M","Swimming","Men's 200m Backstroke","SUI","Switzerland"
"20479","paris-2024","gold","Kate DOUGLASS","W","Swimming","Women's 200m Breaststroke","USA","United States of America"
"20480","paris-2024","silver","Tatjana SMITH","W","Swimming","Women's 200m Breaststroke","RSA","South Africa"
"20481","paris-2024","bronze","Tes SCHOUTEN","W","Swimming","Women's 200m Breaststroke","NED","Netherlands"
